558, 9.655898, -36.984062, 1.074820;
559, 9.712535, -36.890289, 1.077880;
560, 9.771878, -36.779591, 1.079337;
561, 10.196889, -36.792025, 1.120505;
562, 10.251989, -36.677933, 1.120505;
563, 10.312196, -36.563585, 1.119728;
564, 10.352171, -36.484232, 1.119825;
565, 10.410853, -36.360442, 1.120238;
566, 10.466483, -36.245344, 1.120316;
567, 10.517285, -36.138736, 1.121341;
568, 10.572507, -36.025047, 1.119884;
569, 10.637858, -35.899642, 1.124085;
570, 10.683461, -35.803979, 1.124163;
571, 10.741051, -35.707993, 1.124062;
572, 10.788264, -35.608982, 1.124062;
573, 10.852900, -35.483409, 1.126112;
574, 10.902630, -35.379732, 1.127712;
575, 10.951372, -35.278737, 1.135108;
576, 10.996023, -35.183117, 1.135353;
577, 11.047297, -35.113094, 1.135975;
578, 11.099704, -35.000676, 1.135976;
579, 11.162208, -34.866144, 1.136710;
580, 11.216136, -34.751319, 1.136710;
581, 11.268266, -34.664735, 1.140307;
582, 11.313176, -34.567900, 1.140307;
583, 11.357381, -34.471684, 1.140541;
584, 11.419973, -34.344146, 1.145052;
585, 11.472976, -34.245868, 1.147231;
586, 11.525197, -34.130317, 1.147231;
587, 11.582508, -34.020864, 1.150299;
588, 11.634514, -33.905363, 1.150299;
589, 11.680287, -33.822567, 1.150418;
590, 11.723622, -33.713476, 1.182466;
591, 11.752341, -33.622225, 1.235073;
592, 11.814892, -33.475567, 1.220684;
593, 11.850796, -33.377419, 1.215169;
594, 11.907170, -33.218257, 1.197552;
595, 11.956070, -33.121496, 1.180921;
596, 11.990101, -33.045081, 1.216668;
597, 12.042373, -32.920279, 1.218979;
598, 12.074478, -32.830559, 1.222354;
599, 12.118859, -32.748671, 1.238428;
600, 12.158428, -32.628834, 1.247864;
601, 12.192074, -32.532970, 1.256247;
602, 12.227987, -32.453975, 1.256987;
603, 12.264988, -32.333657, 1.267642;
604, 12.294908, -32.252833, 1.275502;
605, 12.354642, -32.043907, 1.270252;
606, 12.387040, -31.933223, 1.280830;
607, 12.435157, -31.787686, 1.281756;
608, 12.459254, -31.704139, 1.284744;
609, 12.494209, -31.601987, 1.298734;
610, 12.535137, -31.473153, 1.317518;
611, 12.553344, -31.344596, 1.319904;
612, 12.578981, -31.240382, 1.322894;
613, 12.610083, -31.117659, 1.324505;
614, 12.630502, -30.992767, 1.330287;
615, 12.656653, -30.879847, 1.338021;
616, 12.686345, -30.742693, 1.344800;
617, 12.709843, -30.641216, 1.352746;
618, 12.731970, -30.541985, 1.363486;
619, 12.757514, -30.434026, 1.375427;
620, 12.786109, -30.304687, 1.389388;
621, 12.816787, -30.162003, 1.396725;
622, 12.835620, -30.058984, 1.392829;
623, 12.861428, -29.945944, 1.359110;
624, 12.882361, -29.823835, 1.360949;
625, 12.905052, -29.721701, 1.348594;
626, 12.925948, -29.610075, 1.324546;
627, 12.960324, -29.502770, 1.284591;
628, 12.981018, -29.374166, 1.282977;
629, 13.000925, -29.240706, 1.288921;
630, 13.018596, -29.054233, 1.269464;
631, 13.042383, -28.863295, 1.249644;
632, 13.070875, -28.774312, 1.230360;
633, 13.108277, -28.660966, 1.235098;
634, 13.135856, -28.578331, 1.242692;
635, 13.190384, -28.466419, 1.270637;
636, 13.219931, -28.350890, 1.303928;
637, 13.228014, -28.254413, 1.287519;
638, 13.276325, -28.150135, 1.302903;
639, 13.319671, -28.025805, 1.315590;
640, 13.342187, -27.904854, 1.299652;
641, 13.371828, -27.787879, 1.281106;
642, 13.404447, -27.692357, 1.259785;
643, 13.424680, -27.578072, 1.276896;
644, 13.460090, -27.456851, 1.285248;
645, 13.488136, -27.352290, 1.299194;
646, 13.514729, -27.247718, 1.309074;
647, 13.599270, -27.109215, 1.318895;
648, 13.625452, -27.007391, 1.315067;
649, 13.697444, -26.885861, 1.298526;
650, 13.730180, -26.763443, 1.305269;
651, 13.729364, -26.652843, 1.324596;
652, 13.757209, -26.530607, 1.335180;
653, 13.793501, -26.436219, 1.340856;
654, 13.814755, -26.335357, 1.354362;
655, 13.844258, -26.218104, 1.369680;
656, 13.900055, -26.102556, 1.378573;
657, 13.930911, -25.971747, 1.389149;
658, 13.941524, -25.820901, 1.400683;
659, 13.957414, -25.707174, 1.410125;
660, 13.973012, -25.601622, 1.417873;
661, 13.993995, -25.502447, 1.428858;
662, 14.022831, -25.371528, 1.353771;
663, 14.062586, -25.258949, 1.275756;
664, 14.098261, -25.137278, 1.280470;
