[0m[ INFO] [1340020673.752452552]: loading parameters...[0m
[0m[ INFO] [1340020673.823811346]: creating SLAM object...[0m
[0m[ INFO] [1340020673.824576993]: initializing...[0m
[0m[ INFO] [1340020673.824829829]: waiting for transform between /pioneer1/odom and /pioneer1/base_link...[0m
[0m[ INFO] [1340020674.018814110, 1339759399.891477919]: ...[0m
[0m[ INFO] [1340020674.020724032, 1339759399.891477919]: waiting for transform between /pioneer1/odom and /pioneer1/base_link...[0m
[0m[ INFO] [1340020677.649475923, 1339759400.401065343]: ...[0m
[0m[ INFO] [1340020677.651181214, 1339759400.401065343]: waiting for transform between /pioneer1/odom and /pioneer1/base_link...[0m
[0m[ INFO] [1340020677.743227518, 1339759400.496109254]: ...[0m
[0m[ INFO] [1340020677.743527010, 1339759400.496109254]: done[0m
[0m[ INFO] [1340020677.743556600, 1339759400.496109254]: waiting for transform between /pioneer1/base_link and /pioneer1/right...[0m
[0m[ INFO] [1340020677.743588639, 1339759400.496109254]: ...[0m
[0m[ INFO] [1340020677.743667782, 1339759400.496109254]: done[0m
[0m[ INFO] [1340020677.743724376, 1339759400.496109254]: camera pose: x: 0.060000, y: -0.090000, z: 0.535000[0m
[0m[ INFO] [1340020677.743729843, 1339759400.496109254]: camera pose: roll: -1.570000, pitch: 0.000000, yaw: -1.570000[0m
[0m[ INFO] [1340020677.743731658, 1339759400.496109254]: subscribing to 1 sources...[0m
[0m[ INFO] [1340020677.743733048, 1339759400.496109254]: subscribing to topic: /pioneer1/ar_pose_marker[0m
[0m[ INFO] [1340020677.748928905, 1339759400.506234103]: advertising topics...[0m
478,0.194645,0.194645,0.194645
479,0.192539,0.192539,0.192539
480,0.187570,0.187570,0.187570
481,0.185550,0.185550,0.185550
482,0.180956,0.180956,0.180956
483,0.179158,0.179158,0.179158
484,0.174307,0.174307,0.174307
485,0.171933,0.171933,0.171933
486,0.167279,0.167279,0.167279
487,0.165342,0.165342,0.165342
488,0.159953,0.159953,0.159953
489,0.157587,0.157587,0.157587
490,0.152310,0.152310,0.152310
491,0.147098,0.147098,0.147098
492,0.142766,0.142766,0.142766
493,0.137897,0.137897,0.137897
494,0.130302,0.130302,0.130302
495,0.125587,0.125587,0.125587
496,0.120432,0.120432,0.120432
497,0.115779,0.115779,0.115779
498,0.107560,0.107560,0.107560
499,0.102887,0.102887,0.102887
500,0.098793,0.098793,0.098793
501,0.090761,0.090761,0.090761
502,0.086705,0.086705,0.086705
503,0.082370,0.082370,0.082370
504,0.077572,0.077572,0.077572
505,0.073442,0.073442,0.073442
506,0.069454,0.069454,0.069454
507,0.065358,0.065358,0.065358
508,0.061147,0.061147,0.061147
509,0.056603,0.056603,0.056603
510,0.051912,0.051912,0.051912
511,0.048170,0.048170,0.048170
512,0.043955,0.043955,0.043955
513,0.038849,0.038849,0.038849
514,0.034848,0.034848,0.034848
515,0.030530,0.030530,0.030530
516,0.026475,0.026475,0.026475
517,0.022556,0.022556,0.022556
518,0.021156,0.021156,0.021156
519,0.015716,0.015716,0.015716
520,0.014983,0.014983,0.014983
521,0.006978,0.006978,0.006978
522,0.002309,0.002309,0.002309
523,-0.000346,-0.000346,-0.000346
524,-0.002812,-0.002812,-0.002812
525,-0.005806,-0.005806,-0.005806
526,-0.007063,-0.007063,-0.007063
527,-0.009862,-0.009862,-0.009862
528,-0.013268,-0.013268,-0.013268
529,-0.014780,-0.014780,-0.014780
530,-0.015908,-0.015908,-0.015908
531,-0.017842,-0.017842,-0.017842
532,-0.021928,-0.021928,-0.021928
533,-0.022942,-0.022942,-0.022942
534,-0.026015,-0.026015,-0.026015
535,-0.026940,-0.026940,-0.026940
536,-0.028719,-0.028719,-0.028719
537,-0.032154,-0.032154,-0.032154
538,-0.033833,-0.033833,-0.033833
539,-0.037605,-0.037605,-0.037605
540,-0.039684,-0.039684,-0.039684
541,-0.043780,-0.043780,-0.043780
542,-0.045984,-0.045984,-0.045984
543,-0.053671,-0.053671,-0.053671
544,-0.056477,-0.056477,-0.056477
545,-0.061214,-0.061214,-0.061214
546,-0.062866,-0.062866,-0.062866
547,-0.064200,-0.064200,-0.064200
548,-0.068609,-0.068609,-0.068609
549,-0.070847,-0.070847,-0.070847
550,-0.072956,-0.072956,-0.072956
551,-0.077524,-0.077524,-0.077524
552,-0.079541,-0.079541,-0.079541
553,-0.093280,-0.093280,-0.093280
554,-0.105603,-0.105603,-0.105603
555,-0.112078,-0.112078,-0.112078
556,-0.123630,-0.123630,-0.123630
557,-0.131415,-0.131415,-0.131415
558,-0.138527,-0.138527,-0.138527
559,-0.144729,-0.144729,-0.144729
560,-0.153945,-0.153945,-0.153945
561,-0.158479,-0.158479,-0.158479
562,-0.165744,-0.165744,-0.165744
563,-0.169498,-0.169498,-0.169498
564,-0.171782,-0.171782,-0.171782
565,-0.177911,-0.177911,-0.177911
566,-0.181459,-0.181459,-0.181459
567,-0.187456,-0.187456,-0.187456
568,-0.191046,-0.191046,-0.191046
569,-0.194365,-0.194365,-0.194365
570,-0.197662,-0.197662,-0.197662
571,-0.203244,-0.203244,-0.203244
572,-0.206778,-0.206778,-0.206778
573,-0.213211,-0.213211,-0.213211
574,-0.217382,-0.217382,-0.217382
575,-0.220977,-0.220977,-0.220977
576,-0.226467,-0.226467,-0.226467
577,-0.229580,-0.229580,-0.229580
578,-0.235311,-0.235311,-0.235311
579,-0.238663,-0.238663,-0.238663
580,-0.240152,-0.240152,-0.240152
581,-0.244819,-0.244819,-0.244819
582,-0.247731,-0.247731,-0.247731
583,-0.250739,-0.250739,-0.250739
584,-0.255799,-0.255799,-0.255799
585,-0.258998,-0.258998,-0.258998
586,-0.265347,-0.265347,-0.265347
587,-0.267475,-0.267475,-0.267475
588,-0.269534,-0.269534,-0.269534
589,-0.273249,-0.273249,-0.273249
590,-0.275885,-0.275885,-0.275885
591,-0.278088,-0.278088,-0.278088
592,-0.282371,-0.282371,-0.282371
593,-0.284957,-0.284957,-0.284957
594,-0.289467,-0.289467,-0.289467
595,-0.293448,-0.293448,-0.293448
596,-0.295805,-0.295805,-0.295805
597,-0.299685,-0.299685,-0.299685
598,-0.307779,-0.307779,-0.307779
599,-0.313802,-0.313802,-0.313802
600,-0.318608,-0.318608,-0.318608
601,-0.320722,-0.320722,-0.320722
602,-0.329501,-0.329501,-0.329501
603,-0.333772,-0.333772,-0.333772
604,-0.340790,-0.340790,-0.340790
605,-0.343452,-0.343452,-0.343452
606,-0.348594,-0.348594,-0.348594
607,-0.352821,-0.352821,-0.352821
608,-0.357082,-0.357082,-0.357082
609,-0.360747,-0.360747,-0.360747
610,-0.361837,-0.361837,-0.361837
611,-0.361860,-0.361860,-0.361860
612,-0.366807,-0.366807,-0.366807
613,-0.370701,-0.370701,-0.370701
614,-0.374764,-0.374764,-0.374764
