[0m[ INFO] [1340027441.927965909]: loading parameters...[0m
[0m[ INFO] [1340027441.986326822]: creating SLAM object...[0m
[0m[ INFO] [1340027441.986763323]: initializing...[0m
[0m[ INFO] [1340027441.987001290]: waiting for transform between /pioneer1/odom and /pioneer1/base_link...[0m
[0m[ INFO] [1340027442.128931117, 1339759399.891477919]: ...[0m
[0m[ INFO] [1340027442.130465741, 1339759399.891477919]: waiting for transform between /pioneer1/odom and /pioneer1/base_link...[0m
[0m[ INFO] [1340027464.122123022, 1339759400.402748933]: ...[0m
[0m[ INFO] [1340027464.122354412, 1339759400.402748933]: waiting for transform between /pioneer1/odom and /pioneer1/base_link...[0m
[0m[ INFO] [1340027464.225220903, 1339759400.500761904]: ...[0m
[0m[ INFO] [1340027464.227333253, 1339759400.500761904]: done[0m
[0m[ INFO] [1340027464.227361398, 1339759400.500761904]: waiting for transform between /pioneer1/base_link and /pioneer1/right...[0m
[0m[ INFO] [1340027464.227396298, 1339759400.500761904]: ...[0m
[0m[ INFO] [1340027464.227432942, 1339759400.500761904]: done[0m
[0m[ INFO] [1340027464.227596074, 1339759400.511073192]: camera pose: x: 0.060000, y: -0.090000, z: 0.535000[0m
[0m[ INFO] [1340027464.227628581, 1339759400.511073192]: camera pose: roll: -1.570000, pitch: 0.000000, yaw: -1.570000[0m
[0m[ INFO] [1340027464.227656458, 1339759400.511073192]: subscribing to 1 sources...[0m
[0m[ INFO] [1340027464.227786928, 1339759400.511073192]: subscribing to topic: /pioneer1/ar_pose_marker[0m
[0m[ INFO] [1340027464.231335981, 1339759400.511073192]: advertising topics...[0m
407,0.493844,0.493844,0.493844
408,0.489275,0.489275,0.489275
409,0.486650,0.486650,0.486650
410,0.483163,0.483163,0.483163
411,0.479333,0.479333,0.479333
412,0.475232,0.475232,0.475232
413,0.472551,0.472551,0.472551
414,0.469063,0.469063,0.469063
415,0.464329,0.464329,0.464329
416,0.460063,0.460063,0.460063
417,0.456228,0.456228,0.456228
418,0.451780,0.451780,0.451780
419,0.446901,0.446901,0.446901
420,0.441871,0.441871,0.441871
421,0.436425,0.436425,0.436425
422,0.431643,0.431643,0.431643
423,0.428573,0.428573,0.428573
424,0.425687,0.425687,0.425687
425,0.421436,0.421436,0.421436
426,0.418325,0.418325,0.418325
427,0.413735,0.413735,0.413735
428,0.410551,0.410551,0.410551
429,0.407055,0.407055,0.407055
430,0.401652,0.401652,0.401652
431,0.398382,0.398382,0.398382
432,0.393601,0.393601,0.393601
433,0.390265,0.390265,0.390265
434,0.386928,0.386928,0.386928
435,0.385085,0.385085,0.385085
436,0.382433,0.382433,0.382433
437,0.380558,0.380558,0.380558
438,0.376893,0.376893,0.376893
439,0.374140,0.374140,0.374140
440,0.371175,0.371175,0.371175
441,0.369540,0.369540,0.369540
442,0.366749,0.366749,0.366749
443,0.363015,0.363015,0.363015
444,0.360040,0.360040,0.360040
445,0.357155,0.357155,0.357155
446,0.354760,0.354760,0.354760
447,0.352229,0.352229,0.352229
448,0.351077,0.351077,0.351077
449,0.348617,0.348617,0.348617
450,0.346600,0.346600,0.346600
451,0.344531,0.344531,0.344531
452,0.339382,0.339382,0.339382
453,0.336725,0.336725,0.336725
454,0.334308,0.334308,0.334308
455,0.331424,0.331424,0.331424
456,0.328219,0.328219,0.328219
457,0.324364,0.324364,0.324364
458,0.320562,0.320562,0.320562
459,0.316137,0.316137,0.316137
460,0.311789,0.311789,0.311789
461,0.307428,0.307428,0.307428
462,0.304106,0.304106,0.304106
463,0.299570,0.299570,0.299570
464,0.297659,0.297659,0.297659
465,0.293512,0.293512,0.293512
466,0.289489,0.289489,0.289489
467,0.286201,0.286201,0.286201
468,0.282452,0.282452,0.282452
469,0.279219,0.279219,0.279219
470,0.274747,0.274747,0.274747
471,0.270232,0.270232,0.270232
472,0.266389,0.266389,0.266389
473,0.262146,0.262146,0.262146
474,0.258716,0.258716,0.258716
475,0.255724,0.255724,0.255724
476,0.252386,0.252386,0.252386
477,0.249114,0.249114,0.249114
478,0.245159,0.245159,0.245159
479,0.241471,0.241471,0.241471
480,0.238463,0.238463,0.238463
481,0.234353,0.234353,0.234353
482,0.231029,0.231029,0.231029
483,0.227049,0.227049,0.227049
484,0.225332,0.225332,0.225332
485,0.221072,0.221072,0.221072
486,0.216623,0.216623,0.216623
487,0.213805,0.213805,0.213805
488,0.210722,0.210722,0.210722
489,0.207990,0.207990,0.207990
490,0.206137,0.206137,0.206137
491,0.203565,0.203565,0.203565
492,0.199956,0.199956,0.199956
493,0.197539,0.197539,0.197539
494,0.193507,0.193507,0.193507
495,0.191746,0.191746,0.191746
496,0.189541,0.189541,0.189541
497,0.184579,0.184579,0.184579
498,0.182642,0.182642,0.182642
499,0.178134,0.178134,0.178134
500,0.176381,0.176381,0.176381
501,0.171608,0.171608,0.171608
502,0.169311,0.169311,0.169311
503,0.164729,0.164729,0.164729
504,0.162864,0.162864,0.162864
505,0.157572,0.157572,0.157572
506,0.155311,0.155311,0.155311
507,0.150095,0.150095,0.150095
508,0.145006,0.145006,0.145006
509,0.140783,0.140783,0.140783
510,0.135991,0.135991,0.135991
511,0.131345,0.131345,0.131345
512,0.126741,0.126741,0.126741
513,0.124792,0.124792,0.124792
514,0.119681,0.119681,0.119681
515,0.115082,0.115082,0.115082
516,0.110050,0.110050,0.110050
517,0.104981,0.104981,0.104981
518,0.100355,0.100355,0.100355
519,0.094953,0.094953,0.094953
520,0.089802,0.089802,0.089802
521,0.085851,0.085851,0.085851
522,0.081586,0.081586,0.081586
523,0.076837,0.076837,0.076837
524,0.072768,0.072768,0.072768
525,0.068872,0.068872,0.068872
526,0.067478,0.067478,0.067478
527,0.063206,0.063206,0.063206
528,0.059027,0.059027,0.059027
529,0.054514,0.054514,0.054514
530,0.050525,0.050525,0.050525
531,0.047100,0.047100,0.047100
532,0.045355,0.045355,0.045355
533,0.040152,0.040152,0.040152
534,0.036165,0.036165,0.036165
535,0.031933,0.031933,0.031933
536,0.027997,0.027997,0.027997
537,0.024170,0.024170,0.024170
538,0.022851,0.022851,0.022851
539,0.017534,0.017534,0.017534
540,0.014208,0.014208,0.014208
541,0.008921,0.008921,0.008921
542,0.004251,0.004251,0.004251
543,0.001757,0.001757,0.001757
544,-0.000534,-0.000534,-0.000534
545,-0.003430,-0.003430,-0.003430
546,-0.006205,-0.006205,-0.006205
547,-0.006868,-0.006868,-0.006868
548,-0.008459,-0.008459,-0.008459
549,-0.011768,-0.011768,-0.011768
550,-0.012716,-0.012716,-0.012716
551,-0.014673,-0.014673,-0.014673
552,-0.018533,-0.018533,-0.018533
553,-0.019368,-0.019368,-0.019368
554,-0.019864,-0.019864,-0.019864
555,-0.022687,-0.022687,-0.022687
556,-0.024364,-0.024364,-0.024364
